Row,f_0_48828,f_0_61035,f_0_73242,f_0_85449,f_0_97656,f_1_0986,f_1_3428,f_1_5869,f_1_9531,f_2_3193,f_2_6855,f_3_1738,f_3_7842,f_4_3945,f_5_249,f_6_2256,f_7_3242,f_8_667,f_10_2539,f_12_085,f_14_2822,f_16_9678,f_20_0195
030222_AH_01,898935.51723426,859529.477617449,790122.798019389,506215.487507844,460783.996415918,306776.887546601,63690.5642641743,37749.0570931415,21581.5581716953,13121.0833807242,10070.8424817445,8099.41948897756,6665.60284347758,5915.08897527226,4924.7708329265,4368.07278894026,4411.28535551189,4194.9880108081,3304.80092296537,2556.06864241809,1740.76586753495,1028.61740781175,432.674584871197
030222_AH_02,411826.32425211,394129.313923641,349568.283889286,228890.357765807,208064.045374872,141503.247267035,18698.7254060182,7662.95136625725,4598.02190178691,3265.2683503925,2490.68396707899,1836.42039989149,1539.49273457702,1224.89080822586,893.903770876276,644.799908097343,571.55060212209,445.567020887501,382.48381402063,304.926180667545,202.663215830726,147.257413754224,86.5434967841844
030222_AH_03,387242.210389487,356844.866104512,315222.427677944,214136.946118938,200988.134094855,150737.985392463,35485.4835942836,14335.8576889145,8923.84989815616,6826.90380593971,5381.82559422972,4023.23803649806,3085.03287481212,2771.18798369542,2528.6103401743,2313.71538785042,1827.79503381646,1298.31429613649,993.462686070825,687.512629254297,521.024982903221,297.820358937404,167.563569038681
030222_AH_04,278670.210718639,265679.414013929,237826.501916141,154598.348253187,141013.599511261,103965.514627136,14402.7834185838,6702.86527036277,3801.50938463728,3015.40755178558,2152.28493870529,1953.13425282075,1753.47733863227,1456.14191996366,1124.93992431925,813.124298333776,688.368303821856,484.413288307381,341.961812470222,296.509754289008,191.511724575266,118.768025403794,69.2440455413556
030222_AH_05,817621.907007621,790058.758870872,701299.236238546,448320.230675189,402925.195034525,278427.394509848,20464.4745689047,5224.85970468256,2311.7615206433,1544.58043705154,1253.17151294785,997.325237322624,803.055749193673,681.861443273896,609.661990670737,564.180961032799,508.972059030073,483.303705143019,489.184911694409,452.261246311343,347.397799465843,235.972628385966,164.015089554185
030222_AH_07,355809.960656048,303170.834243234,269541.429841868,195756.926327436,188660.404466058,160220.913240236,44856.9035180559,15386.1541357639,12875.9249649182,11666.4509137354,9757.10006331654,9996.64460649783,10079.2127272518,10554.9768470964,10339.4798430947,9917.55433762552,10369.8421655132,10881.5243546571,7080.36465458953,5551.67485501888,3438.8715269031,3833.93817967351,2987.05470011879
030222_AH_08,128169.091236412,123414.374327305,107875.458839536,74922.6936990878,71927.8740143248,59329.2256104059,19560.6052021406,13183.5351631123,7190.50239837677,6123.57943816029,5668.44870083799,4751.19708737369,4154.16057823195,3458.57973601742,3584.5866306025,3300.36687606637,2741.48253330107,3530.93776052902,2991.07067367308,3909.51561783757,1827.8793697523,1510.96152793303,1939.54620074497
030222_AH_09,263207.507953528,251651.194731637,210529.900711759,145903.042088643,136010.805689102,111080.583757291,17350.1475024055,6108.11345651717,4632.55426046884,3809.6139026836,3475.85472244833,3180.75643948458,2844.80846190435,2535.67763000355,2295.48666981469,2225.39967068768,2006.83491459219,2096.92179792536,1472.61157448447,1269.49444453079,1153.56931045597,1355.08182597882,1018.10434714527
030222_AH_10,245642.1908878,223299.813114915,201466.023431778,140550.873218825,124526.852340337,74624.6236456836,27802.9157789146,9059.55913137677,5545.08526371083,5279.23231388903,5090.51347884052,4818.85749192703,4429.64870685915,4712.19780332505,4648.94566977562,5220.00973822178,5117.35688348294,4182.25412185451,3606.96898963689,3578.71209611579,4053.12600028221,2287.71600507183,2989.20484998209
030222_AH_12,213730.197041146,194140.160249811,160527.105022978,120817.314787073,115143.222251868,95655.1037122344,25564.8310475277,15007.7427111732,14546.8787761175,12768.0393211911,13007.9517060077,14583.974366883,17967.2002767329,21835.0406794184,28209.4360175018,32973.0699377146,30111.7786153871,21842.4990883243,14371.6868493473,10601.9141641493,7489.09648545376,6799.37492523792,3250.1679390163
030222_AH_15,273965.423630278,266948.145214691,250317.846086679,161878.869844375,137916.044028257,96316.6201040422,9101.18590333833,4613.83667984112,3622.81712569499,3433.67370536597,3445.57286090901,3743.50317529873,4008.78338134169,4322.45504566994,4284.35526022556,3322.95158916141,2922.46521510672,3893.26928602121,4646.26684579649,3047.80150773373,4458.82871078965,3056.50253127247,3746.34523853525
030222_AH_17,165239.618244675,155491.000591396,129245.61635147,92128.76512235,87595.5845894219,68225.3671080232,16628.4896354238,7763.53275532243,5085.5080480696,3870.77797040979,3176.70693321528,3123.86534619549,2967.53261764657,2913.97644659764,3382.42193106985,3692.42973095969,4655.04559890574,4942.9740923739,4299.66884707731,4162.93224181301,3465.96143588248,2614.87875232011,1599.37149299143
030222_AH_18,22080.7549705624,21008.9738834412,19423.4916992537,13195.6973784907,12283.8367592439,8909.02055489014,3262.98875176135,3126.72181784381,3326.28239888968,3213.66834779555,3954.43564451915,3875.12301966133,4894.22657755545,5329.17669621498,7195.77644401111,10407.279118126,15047.1912722941,20285.6878945874,13920.1672812749,18471.0423289024,7916.47638676765,5738.78654878468,1730.68437520168
